ACTION;START;END;RUN
{action=migrate(vm=vm#5, from=node#2, to=node#3, bw=1000)};1436534653;1436534682;40
{action=migrate(vm=vm#0, from=node#0, to=node#1, bw=500)};1436534653;1436534691;40
{action=migrate(vm=vm#3, from=node#3, to=node#0, bw=500)};1436534653;1436534699;40
{action=migrate(vm=vm#4, from=node#2, to=node#3, bw=1000)};1436534682;1436534705;40
{action=migrate(vm=vm#1, from=node#1, to=node#3, bw=500)};1436534699;1436534737;40
{action=migrate(vm=vm#6, from=node#2, to=node#0, bw=500)};1436534699;1436534755;40
{action=migrate(vm=vm#8, from=node#3, to=node#2, bw=1000)};1436534705;1436534734;40
{action=migrate(vm=vm#2, from=node#3, to=node#2, bw=1000)};1436534735;1436534755;40
{action=migrate(vm=vm#9, from=node#1, to=node#0, bw=500)};1436534755;1436534811;40
{action=migrate(vm=vm#7, from=node#1, to=node#3, bw=500)};1436534812;1436534868;40
