ACTION;START;END;RUN
{action=migrate(vm=vm#0, from=node#0, to=node#2, bw=500)};1436532665;1436532703;31
{action=migrate(vm=vm#4, from=node#1, to=node#2, bw=500)};1436532665;1436532705;31
{action=migrate(vm=vm#8, from=node#3, to=node#1, bw=500)};1436532665;1436532724;31
{action=migrate(vm=vm#5, from=node#0, to=node#2, bw=500)};1436532705;1436532761;31
{action=migrate(vm=vm#9, from=node#3, to=node#0, bw=500)};1436532705;1436532766;31
{action=migrate(vm=vm#1, from=node#2, to=node#1, bw=500)};1436532724;1436532763;31
{action=migrate(vm=vm#2, from=node#3, to=node#0, bw=500)};1436532766;1436532811;31
{action=migrate(vm=vm#6, from=node#0, to=node#1, bw=500)};1436532766;1436532822;31
{action=migrate(vm=vm#3, from=node#1, to=node#0, bw=500)};1436532822;1436532860;31
{action=migrate(vm=vm#7, from=node#0, to=node#1, bw=500)};1436532861;1436532917;31
