ACTION;START;END;RUN
{action=migrate(vm=vm#7, from=node#3, to=node#2, bw=1000)};1436526021;1436526055;1
{action=migrate(vm=vm#6, from=node#2, to=node#0, bw=500)};1436526021;1436526083;1
{action=migrate(vm=vm#5, from=node#1, to=node#3, bw=500)};1436526021;1436526099;1
{action=migrate(vm=vm#8, from=node#0, to=node#3, bw=500)};1436526021;1436526101;1
{action=migrate(vm=vm#3, from=node#3, to=node#2, bw=1000)};1436526056;1436526075;1
{action=migrate(vm=vm#2, from=node#2, to=node#3, bw=1000)};1436526101;1436526121;1
{action=migrate(vm=vm#9, from=node#1, to=node#0, bw=500)};1436526101;1436526162;1
{action=migrate(vm=vm#0, from=node#0, to=node#3, bw=500)};1436526121;1436526160;1
{action=migrate(vm=vm#1, from=node#1, to=node#0, bw=500)};1436526162;1436526201;1
{action=migrate(vm=vm#4, from=node#0, to=node#1, bw=500)};1436526162;1436526279;1
