ACTION;START;END;RUN
{action=migrate(vm=vm#1, from=node#1, to=node#2, bw=500)};1436531461;1436531498;26
{action=migrate(vm=vm#2, from=node#3, to=node#0, bw=500)};1436531461;1436531503;26
{action=migrate(vm=vm#9, from=node#0, to=node#3, bw=500)};1436531461;1436531518;26
{action=migrate(vm=vm#4, from=node#2, to=node#0, bw=500)};1436531503;1436531546;26
{action=migrate(vm=vm#8, from=node#3, to=node#1, bw=500)};1436531503;1436531562;26
{action=migrate(vm=vm#0, from=node#0, to=node#3, bw=500)};1436531518;1436531556;26
{action=migrate(vm=vm#6, from=node#1, to=node#0, bw=500)};1436531546;1436531603;26
{action=migrate(vm=vm#3, from=node#0, to=node#1, bw=500)};1436531603;1436531648;26
{action=migrate(vm=vm#5, from=node#1, to=node#3, bw=500)};1436531603;1436531659;26
{action=migrate(vm=vm#7, from=node#1, to=node#0, bw=500)};1436531659;1436531715;26
