ACTION;START;END;RUN
{action=migrate(vm=vm#1, from=node#3, to=node#0, bw=500)};1436528012;1436528050;10
{action=migrate(vm=vm#0, from=node#2, to=node#1, bw=500)};1436528012;1436528058;10
{action=migrate(vm=vm#7, from=node#1, to=node#3, bw=500)};1436528012;1436528069;10
{action=migrate(vm=vm#4, from=node#2, to=node#1, bw=500)};1436528058;1436528096;10
{action=migrate(vm=vm#2, from=node#3, to=node#0, bw=500)};1436528058;1436528097;10
{action=migrate(vm=vm#6, from=node#2, to=node#3, bw=1000)};1436528097;1436528125;10
{action=migrate(vm=vm#3, from=node#3, to=node#0, bw=500)};1436528097;1436528140;10
{action=migrate(vm=vm#9, from=node#0, to=node#1, bw=500)};1436528097;1436528161;10
{action=migrate(vm=vm#8, from=node#1, to=node#3, bw=500)};1436528125;1436528181;10
{action=migrate(vm=vm#5, from=node#2, to=node#0, bw=500)};1436528140;1436528197;10
