ACTION;START;END;RUN
{action=migrate(vm=vm#2, from=node#2, to=node#3, bw=1000)};1436530616;1436530637;22
{action=migrate(vm=vm#3, from=node#0, to=node#1, bw=500)};1436530616;1436530655;22
{action=migrate(vm=vm#9, from=node#3, to=node#2, bw=1000)};1436530637;1436530666;22
{action=migrate(vm=vm#8, from=node#2, to=node#3, bw=1000)};1436530637;1436530671;22
{action=migrate(vm=vm#5, from=node#0, to=node#1, bw=500)};1436530655;1436530711;22
{action=migrate(vm=vm#6, from=node#2, to=node#0, bw=500)};1436530655;1436530718;22
{action=migrate(vm=vm#4, from=node#2, to=node#3, bw=1000)};1436530718;1436530737;22
{action=migrate(vm=vm#0, from=node#1, to=node#0, bw=500)};1436530718;1436530756;22
{action=migrate(vm=vm#7, from=node#0, to=node#3, bw=500)};1436530737;1436530793;22
{action=migrate(vm=vm#1, from=node#0, to=node#2, bw=500)};1436530793;1436530831;22
