ACTION;START;END;RUN
{action=migrate(vm=vm#2, from=node#0, to=node#3, bw=500)};1436527306;1436527345;6
{action=migrate(vm=vm#4, from=node#2, to=node#0, bw=500)};1436527306;1436527347;6
{action=migrate(vm=vm#6, from=node#2, to=node#1, bw=500)};1436527306;1436527362;6
{action=migrate(vm=vm#3, from=node#0, to=node#3, bw=500)};1436527348;1436527386;6
{action=migrate(vm=vm#5, from=node#2, to=node#0, bw=500)};1436527348;1436527405;6
{action=migrate(vm=vm#8, from=node#3, to=node#2, bw=1000)};1436527348;1436527378;6
{action=migrate(vm=vm#1, from=node#3, to=node#2, bw=1000)};1436527378;1436527398;6
{action=migrate(vm=vm#0, from=node#3, to=node#1, bw=500)};1436527398;1436527436;6
{action=migrate(vm=vm#9, from=node#0, to=node#2, bw=500)};1436527405;1436527462;6
{action=migrate(vm=vm#7, from=node#2, to=node#0, bw=500)};1436527405;1436527464;6
