ACTION;START;END;RUN
{action=migrate(vm=vm#0, from=node#3, to=node#1, bw=500)};1436530995;1436531033;24
{action=migrate(vm=vm#2, from=node#0, to=node#2, bw=500)};1436530995;1436531034;24
{action=migrate(vm=vm#5, from=node#3, to=node#0, bw=500)};1436530995;1436531054;24
{action=migrate(vm=vm#3, from=node#2, to=node#3, bw=1000)};1436530995;1436531015;24
{action=migrate(vm=vm#8, from=node#0, to=node#1, bw=500)};1436531034;1436531090;24
{action=migrate(vm=vm#6, from=node#3, to=node#2, bw=1000)};1436531054;1436531083;24
{action=migrate(vm=vm#4, from=node#2, to=node#0, bw=500)};1436531054;1436531098;24
{action=migrate(vm=vm#1, from=node#3, to=node#2, bw=1000)};1436531084;1436531103;24
{action=migrate(vm=vm#7, from=node#1, to=node#0, bw=500)};1436531098;1436531154;24
{action=migrate(vm=vm#9, from=node#1, to=node#3, bw=500)};1436531154;1436531211;24
