ACTION;START;END;RUN
{action=migrate(vm=vm#3, from=node#0, to=node#2, bw=500)};1436504773;1436504811;16
{action=migrate(vm=vm#4, from=node#3, to=node#0, bw=500)};1436504773;1436504813;16
{action=migrate(vm=vm#5, from=node#3, to=node#1, bw=500)};1436504773;1436504829;16
{action=migrate(vm=vm#9, from=node#0, to=node#3, bw=500)};1436504813;1436504870;16
{action=migrate(vm=vm#7, from=node#2, to=node#0, bw=500)};1436504813;1436504872;16
{action=migrate(vm=vm#8, from=node#3, to=node#2, bw=1000)};1436504829;1436504858;16
{action=migrate(vm=vm#1, from=node#3, to=node#2, bw=1000)};1436504859;1436504878;16
{action=migrate(vm=vm#0, from=node#0, to=node#1, bw=500)};1436504872;1436504914;16
{action=migrate(vm=vm#6, from=node#1, to=node#0, bw=500)};1436504872;1436504930;16
{action=migrate(vm=vm#2, from=node#0, to=node#3, bw=500)};1436504914;1436504952;16
