ACTION;START;END;RUN
{action=migrate(vm=vm#1, from=node#1, to=node#2, bw=500)};1436506939;1436506977;26
{action=migrate(vm=vm#2, from=node#3, to=node#0, bw=500)};1436506939;1436506979;26
{action=migrate(vm=vm#9, from=node#0, to=node#3, bw=500)};1436506939;1436506995;26
{action=migrate(vm=vm#8, from=node#3, to=node#1, bw=500)};1436506979;1436507039;26
{action=migrate(vm=vm#4, from=node#2, to=node#0, bw=500)};1436506979;1436507020;26
{action=migrate(vm=vm#0, from=node#0, to=node#3, bw=500)};1436506995;1436507034;26
{action=migrate(vm=vm#6, from=node#1, to=node#0, bw=500)};1436507020;1436507081;26
{action=migrate(vm=vm#5, from=node#1, to=node#3, bw=500)};1436507081;1436507137;26
{action=migrate(vm=vm#3, from=node#0, to=node#1, bw=500)};1436507081;1436507127;26
{action=migrate(vm=vm#7, from=node#1, to=node#0, bw=500)};1436507137;1436507193;26
