ACTION;START;END;RUN
{action=migrate(vm=vm#2, from=node#3, to=node#2, bw=1000)};1436504150;1436504170;13
{action=migrate(vm=vm#0, from=node#1, to=node#3, bw=500)};1436504150;1436504191;13
{action=migrate(vm=vm#6, from=node#0, to=node#3, bw=500)};1436504150;1436504207;13
{action=migrate(vm=vm#7, from=node#1, to=node#2, bw=500)};1436504191;1436504247;13
{action=migrate(vm=vm#9, from=node#2, to=node#1, bw=500)};1436504191;1436504256;13
{action=migrate(vm=vm#8, from=node#0, to=node#2, bw=500)};1436504256;1436504313;13
{action=migrate(vm=vm#1, from=node#2, to=node#3, bw=1000)};1436504257;1436504276;13
{action=migrate(vm=vm#5, from=node#1, to=node#0, bw=500)};1436504257;1436504314;13
{action=migrate(vm=vm#4, from=node#1, to=node#3, bw=500)};1436504314;1436504352;13
{action=migrate(vm=vm#3, from=node#0, to=node#1, bw=500)};1436504314;1436504358;13
