ACTION;START;END;RUN
{action=migrate(vm=vm#4, from=node#0, to=node#2, bw=500)};1436506683;1436506721;25
{action=migrate(vm=vm#8, from=node#1, to=node#3, bw=500)};1436506683;1436506739;25
{action=migrate(vm=vm#6, from=node#2, to=node#1, bw=500)};1436506683;1436506744;25
{action=migrate(vm=vm#9, from=node#3, to=node#0, bw=500)};1436506683;1436506750;25
{action=migrate(vm=vm#3, from=node#3, to=node#0, bw=500)};1436506750;1436506788;25
{action=migrate(vm=vm#1, from=node#2, to=node#1, bw=500)};1436506750;1436506788;25
{action=migrate(vm=vm#2, from=node#2, to=node#3, bw=1000)};1436506789;1436506808;25
{action=migrate(vm=vm#5, from=node#0, to=node#1, bw=500)};1436506789;1436506845;25
{action=migrate(vm=vm#0, from=node#1, to=node#0, bw=500)};1436506845;1436506883;25
{action=migrate(vm=vm#7, from=node#0, to=node#1, bw=500)};1436506883;1436506939;25
