ACTION;START;END;RUN
{action=migrate(vm=vm#4, from=node#3, to=node#1, bw=500)};1436507930;1436507974;30
{action=migrate(vm=vm#2, from=node#0, to=node#3, bw=500)};1436507930;1436507977;30
{action=migrate(vm=vm#6, from=node#2, to=node#0, bw=500)};1436507930;1436507988;30
{action=migrate(vm=vm#8, from=node#1, to=node#3, bw=500)};1436507930;1436507990;30
{action=migrate(vm=vm#3, from=node#0, to=node#1, bw=500)};1436507990;1436508028;30
{action=migrate(vm=vm#0, from=node#2, to=node#0, bw=500)};1436507990;1436508034;30
{action=migrate(vm=vm#9, from=node#2, to=node#3, bw=1000)};1436508034;1436508063;30
{action=migrate(vm=vm#1, from=node#0, to=node#2, bw=500)};1436508034;1436508077;30
{action=migrate(vm=vm#5, from=node#1, to=node#0, bw=500)};1436508034;1436508091;30
{action=migrate(vm=vm#7, from=node#1, to=node#0, bw=500)};1436508091;1436508147;30
