ACTION;START;END;RUN
{action=migrate(vm=vm#8, from=node#2, to=node#3, bw=1000)};1436504953;1436504981;17
{action=migrate(vm=vm#4, from=node#0, to=node#2, bw=500)};1436504953;1436504991;17
{action=migrate(vm=vm#0, from=node#1, to=node#0, bw=500)};1436504953;1436504991;17
{action=migrate(vm=vm#2, from=node#3, to=node#1, bw=500)};1436504953;1436504993;17
{action=migrate(vm=vm#3, from=node#2, to=node#3, bw=1000)};1436504981;1436505008;17
{action=migrate(vm=vm#1, from=node#2, to=node#1, bw=500)};1436504993;1436505032;17
{action=migrate(vm=vm#9, from=node#3, to=node#2, bw=1000)};1436505008;1436505036;17
{action=migrate(vm=vm#7, from=node#0, to=node#1, bw=500)};1436505032;1436505095;17
{action=migrate(vm=vm#5, from=node#1, to=node#2, bw=500)};1436505036;1436505093;17
{action=migrate(vm=vm#6, from=node#0, to=node#2, bw=500)};1436505095;1436505151;17
