ACTION;START;END;RUN
{action=migrate(vm=vm#7, from=node#2, to=node#3, bw=1000)};1436511096;1436511127;45
{action=migrate(vm=vm#2, from=node#3, to=node#1, bw=500)};1436511096;1436511138;45
{action=migrate(vm=vm#9, from=node#1, to=node#2, bw=500)};1436511096;1436511152;45
{action=migrate(vm=vm#8, from=node#3, to=node#0, bw=500)};1436511096;1436511155;45
{action=migrate(vm=vm#0, from=node#0, to=node#1, bw=500)};1436511138;1436511184;45
{action=migrate(vm=vm#6, from=node#3, to=node#2, bw=1000)};1436511155;1436511183;45
{action=migrate(vm=vm#5, from=node#2, to=node#0, bw=500)};1436511155;1436511216;45
{action=migrate(vm=vm#1, from=node#1, to=node#2, bw=500)};1436511216;1436511255;45
{action=migrate(vm=vm#3, from=node#2, to=node#0, bw=500)};1436511216;1436511255;45
{action=migrate(vm=vm#4, from=node#0, to=node#2, bw=500)};1436511216;1436511261;45
