ACTION;START;END;RUN
{action=migrate(vm=vm#5, from=node#3, to=node#2, bw=1000)};1436509483;1436509521;37
{action=migrate(vm=vm#1, from=node#2, to=node#1, bw=500)};1436509483;1436509522;37
{action=migrate(vm=vm#8, from=node#2, to=node#0, bw=500)};1436509483;1436509545;37
{action=migrate(vm=vm#3, from=node#0, to=node#1, bw=500)};1436509522;1436509564;37
{action=migrate(vm=vm#2, from=node#2, to=node#3, bw=1000)};1436509545;1436509564;37
{action=migrate(vm=vm#6, from=node#1, to=node#2, bw=500)};1436509545;1436509601;37
{action=migrate(vm=vm#4, from=node#2, to=node#3, bw=1000)};1436509564;1436509584;37
{action=migrate(vm=vm#7, from=node#1, to=node#2, bw=500)};1436509601;1436509657;37
{action=migrate(vm=vm#9, from=node#0, to=node#1, bw=500)};1436509601;1436509670;37
{action=migrate(vm=vm#0, from=node#1, to=node#2, bw=500)};1436509670;1436509708;37
