ACTION;START;END;RUN
{action=migrate(vm=vm#4, from=node#1, to=node#3, bw=500)};1436503702;1436503740;11
{action=migrate(vm=vm#5, from=node#0, to=node#2, bw=500)};1436503702;1436503758;11
{action=migrate(vm=vm#8, from=node#3, to=node#1, bw=500)};1436503702;1436503762;11
{action=migrate(vm=vm#7, from=node#3, to=node#0, bw=500)};1436503702;1436503763;11
{action=migrate(vm=vm#6, from=node#3, to=node#2, bw=1000)};1436503763;1436503792;11
{action=migrate(vm=vm#1, from=node#0, to=node#3, bw=500)};1436503763;1436503802;11
{action=migrate(vm=vm#9, from=node#1, to=node#0, bw=500)};1436503763;1436503821;11
{action=migrate(vm=vm#2, from=node#0, to=node#2, bw=500)};1436503802;1436503840;11
{action=migrate(vm=vm#0, from=node#1, to=node#0, bw=500)};1436503821;1436503863;11
{action=migrate(vm=vm#3, from=node#0, to=node#2, bw=500)};1436503840;1436503878;11
