ACTION;START;END;RUN
{action=migrate(vm=vm#4, from=node#3, to=node#0, bw=500)};1436536193;1436536232;48
{action=migrate(vm=vm#5, from=node#1, to=node#3, bw=500)};1436536193;1436536254;48
{action=migrate(vm=vm#8, from=node#0, to=node#3, bw=500)};1436536193;1436536258;48
{action=migrate(vm=vm#6, from=node#2, to=node#1, bw=500)};1436536193;1436536258;48
{action=migrate(vm=vm#2, from=node#3, to=node#2, bw=1000)};1436536232;1436536253;48
{action=migrate(vm=vm#3, from=node#2, to=node#0, bw=500)};1436536232;1436536275;48
{action=migrate(vm=vm#7, from=node#0, to=node#2, bw=500)};1436536258;1436536314;48
{action=migrate(vm=vm#9, from=node#2, to=node#1, bw=500)};1436536258;1436536320;48
{action=migrate(vm=vm#0, from=node#1, to=node#0, bw=500)};1436536275;1436536313;48
{action=migrate(vm=vm#1, from=node#1, to=node#2, bw=500)};1436536320;1436536358;48
