ACTION;START;END;RUN
{action=migrate(vm=vm#9, from=node#2, to=node#3, bw=1000)};1436502103;1436502131;3
{action=migrate(vm=vm#5, from=node#0, to=node#2, bw=500)};1436502103;1436502159;3
{action=migrate(vm=vm#0, from=node#2, to=node#3, bw=1000)};1436502132;1436502152;3
{action=migrate(vm=vm#8, from=node#1, to=node#3, bw=500)};1436502152;1436502208;3
{action=migrate(vm=vm#3, from=node#0, to=node#1, bw=500)};1436502208;1436502255;3
{action=migrate(vm=vm#6, from=node#1, to=node#2, bw=500)};1436502208;1436502264;3
{action=migrate(vm=vm#4, from=node#0, to=node#1, bw=500)};1436502255;1436502303;3
{action=migrate(vm=vm#7, from=node#1, to=node#0, bw=500)};1436502264;1436502323;3
{action=migrate(vm=vm#2, from=node#0, to=node#2, bw=500)};1436502303;1436502341;3
{action=migrate(vm=vm#1, from=node#1, to=node#3, bw=500)};1436502323;1436502361;3
