ACTION;START;END;RUN
{action=migrate(vm=vm#4, from=node#3, to=node#1, bw=500)};1436476201;1436476239;12
{action=migrate(vm=vm#6, from=node#2, to=node#0, bw=500)};1436476201;1436476257;12
{action=migrate(vm=vm#1, from=node#3, to=node#2, bw=1000)};1436476240;1436476263;12
{action=migrate(vm=vm#5, from=node#2, to=node#1, bw=500)};1436476240;1436476296;12
{action=migrate(vm=vm#9, from=node#0, to=node#2, bw=500)};1436476263;1436476319;12
{action=migrate(vm=vm#2, from=node#2, to=node#3, bw=1000)};1436476296;1436476316;12
{action=migrate(vm=vm#0, from=node#0, to=node#1, bw=500)};1436476319;1436476357;12
{action=migrate(vm=vm#3, from=node#2, to=node#0, bw=500)};1436476319;1436476362;12
{action=migrate(vm=vm#8, from=node#1, to=node#0, bw=500)};1436476362;1436476418;12
{action=migrate(vm=vm#7, from=node#0, to=node#1, bw=500)};1436476418;1436476474;12
