ACTION;START;END;RUN
{action=migrate(vm=vm#3, from=node#2, to=node#3, bw=1000)};1436477717;1436477738;19
{action=migrate(vm=vm#1, from=node#3, to=node#1, bw=500)};1436477717;1436477764;19
{action=migrate(vm=vm#5, from=node#3, to=node#0, bw=500)};1436477717;1436477773;19
{action=migrate(vm=vm#6, from=node#1, to=node#2, bw=500)};1436477717;1436477773;19
{action=migrate(vm=vm#4, from=node#3, to=node#1, bw=500)};1436477773;1436477817;19
{action=migrate(vm=vm#7, from=node#2, to=node#0, bw=500)};1436477773;1436477829;19
{action=migrate(vm=vm#8, from=node#1, to=node#3, bw=500)};1436477773;1436477830;19
{action=migrate(vm=vm#0, from=node#2, to=node#1, bw=500)};1436477817;1436477864;19
{action=migrate(vm=vm#9, from=node#1, to=node#2, bw=500)};1436477830;1436477886;19
{action=migrate(vm=vm#2, from=node#2, to=node#1, bw=500)};1436477864;1436477906;19
