ACTION;START;END;RUN
{action=migrate(vm=vm#2, from=node#2, to=node#3, bw=1000)};1436478422;1436478441;22
{action=migrate(vm=vm#3, from=node#0, to=node#1, bw=500)};1436478422;1436478460;22
{action=migrate(vm=vm#8, from=node#2, to=node#3, bw=1000)};1436478441;1436478474;22
{action=migrate(vm=vm#9, from=node#3, to=node#2, bw=1000)};1436478441;1436478473;22
{action=migrate(vm=vm#5, from=node#0, to=node#1, bw=500)};1436478460;1436478516;22
{action=migrate(vm=vm#6, from=node#2, to=node#0, bw=500)};1436478460;1436478524;22
{action=migrate(vm=vm#4, from=node#2, to=node#3, bw=1000)};1436478524;1436478544;22
{action=migrate(vm=vm#0, from=node#1, to=node#0, bw=500)};1436478524;1436478566;22
{action=migrate(vm=vm#7, from=node#0, to=node#3, bw=500)};1436478544;1436478601;22
{action=migrate(vm=vm#1, from=node#0, to=node#2, bw=500)};1436478601;1436478639;22
