ACTION;START;END;RUN
{action=migrate(vm=vm#9, from=node#2, to=node#3, bw=1000)};1436474377;1436474406;3
{action=migrate(vm=vm#5, from=node#0, to=node#2, bw=500)};1436474377;1436474433;3
{action=migrate(vm=vm#0, from=node#2, to=node#3, bw=1000)};1436474406;1436474425;3
{action=migrate(vm=vm#8, from=node#1, to=node#3, bw=500)};1436474426;1436474482;3
{action=migrate(vm=vm#3, from=node#0, to=node#1, bw=500)};1436474482;1436474528;3
{action=migrate(vm=vm#6, from=node#1, to=node#2, bw=500)};1436474482;1436474538;3
{action=migrate(vm=vm#4, from=node#0, to=node#1, bw=500)};1436474528;1436474574;3
{action=migrate(vm=vm#7, from=node#1, to=node#0, bw=500)};1436474539;1436474601;3
{action=migrate(vm=vm#2, from=node#0, to=node#2, bw=500)};1436474574;1436474612;3
{action=migrate(vm=vm#1, from=node#1, to=node#3, bw=500)};1436474601;1436474639;3
