ACTION;START;END;RUN
{action=migrate(vm=vm#1, from=node#3, to=node#0, bw=500)};1436475834;1436475872;10
{action=migrate(vm=vm#0, from=node#2, to=node#1, bw=500)};1436475834;1436475881;10
{action=migrate(vm=vm#7, from=node#1, to=node#3, bw=500)};1436475834;1436475891;10
{action=migrate(vm=vm#2, from=node#3, to=node#0, bw=500)};1436475881;1436475919;10
{action=migrate(vm=vm#4, from=node#2, to=node#1, bw=500)};1436475881;1436475921;10
{action=migrate(vm=vm#6, from=node#2, to=node#3, bw=1000)};1436475922;1436475950;10
{action=migrate(vm=vm#3, from=node#3, to=node#0, bw=500)};1436475922;1436475962;10
{action=migrate(vm=vm#9, from=node#0, to=node#1, bw=500)};1436475922;1436475985;10
{action=migrate(vm=vm#8, from=node#1, to=node#3, bw=500)};1436475950;1436476007;10
{action=migrate(vm=vm#5, from=node#2, to=node#0, bw=500)};1436475962;1436476019;10
