ACTION;START;END;RUN
{action=migrate(vm=vm#4, from=node#1, to=node#3, bw=500)};1436476020;1436476058;11
{action=migrate(vm=vm#5, from=node#0, to=node#2, bw=500)};1436476020;1436476076;11
{action=migrate(vm=vm#8, from=node#3, to=node#1, bw=500)};1436476020;1436476082;11
{action=migrate(vm=vm#7, from=node#3, to=node#0, bw=500)};1436476020;1436476084;11
{action=migrate(vm=vm#6, from=node#3, to=node#2, bw=1000)};1436476084;1436476113;11
{action=migrate(vm=vm#1, from=node#0, to=node#3, bw=500)};1436476084;1436476123;11
{action=migrate(vm=vm#9, from=node#1, to=node#0, bw=500)};1436476084;1436476147;11
{action=migrate(vm=vm#2, from=node#0, to=node#2, bw=500)};1436476123;1436476161;11
{action=migrate(vm=vm#0, from=node#1, to=node#0, bw=500)};1436476147;1436476188;11
{action=migrate(vm=vm#3, from=node#0, to=node#2, bw=500)};1436476162;1436476200;11
