ACTION;START;END;RUN
{action=migrate(vm=vm#4, from=node#3, to=node#0, bw=500)};1436483999;1436484039;48
{action=migrate(vm=vm#8, from=node#0, to=node#3, bw=500)};1436483999;1436484061;48
{action=migrate(vm=vm#5, from=node#1, to=node#3, bw=500)};1436483999;1436484061;48
{action=migrate(vm=vm#6, from=node#2, to=node#1, bw=500)};1436483999;1436484063;48
{action=migrate(vm=vm#2, from=node#3, to=node#2, bw=1000)};1436484039;1436484059;48
{action=migrate(vm=vm#3, from=node#2, to=node#0, bw=500)};1436484039;1436484082;48
{action=migrate(vm=vm#7, from=node#0, to=node#2, bw=500)};1436484063;1436484120;48
{action=migrate(vm=vm#9, from=node#2, to=node#1, bw=500)};1436484063;1436484124;48
{action=migrate(vm=vm#0, from=node#1, to=node#0, bw=500)};1436484082;1436484120;48
{action=migrate(vm=vm#1, from=node#1, to=node#2, bw=500)};1436484124;1436484162;48
