ACTION;START;END;RUN
{action=migrate(vm=vm#4, from=node#0, to=node#2, bw=500)};1436479021;1436479059;25
{action=migrate(vm=vm#8, from=node#1, to=node#3, bw=500)};1436479021;1436479078;25
{action=migrate(vm=vm#9, from=node#3, to=node#0, bw=500)};1436479021;1436479084;25
{action=migrate(vm=vm#6, from=node#2, to=node#1, bw=500)};1436479021;1436479084;25
{action=migrate(vm=vm#3, from=node#3, to=node#0, bw=500)};1436479084;1436479122;25
{action=migrate(vm=vm#1, from=node#2, to=node#1, bw=500)};1436479084;1436479122;25
{action=migrate(vm=vm#2, from=node#2, to=node#3, bw=1000)};1436479122;1436479142;25
{action=migrate(vm=vm#5, from=node#0, to=node#1, bw=500)};1436479122;1436479178;25
{action=migrate(vm=vm#0, from=node#1, to=node#0, bw=500)};1436479178;1436479216;25
{action=migrate(vm=vm#7, from=node#0, to=node#1, bw=500)};1436479216;1436479272;25
