ACTION;START;END;RUN
{action=migrate(vm=vm#7, from=node#2, to=node#3, bw=1000)};1436483433;1436483463;45
{action=migrate(vm=vm#2, from=node#3, to=node#1, bw=500)};1436483433;1436483477;45
{action=migrate(vm=vm#9, from=node#1, to=node#2, bw=500)};1436483433;1436483489;45
{action=migrate(vm=vm#8, from=node#3, to=node#0, bw=500)};1436483433;1436483490;45
{action=migrate(vm=vm#0, from=node#0, to=node#1, bw=500)};1436483477;1436483518;45
{action=migrate(vm=vm#6, from=node#3, to=node#2, bw=1000)};1436483490;1436483519;45
{action=migrate(vm=vm#5, from=node#2, to=node#0, bw=500)};1436483490;1436483550;45
{action=migrate(vm=vm#1, from=node#1, to=node#2, bw=500)};1436483550;1436483589;45
{action=migrate(vm=vm#3, from=node#2, to=node#0, bw=500)};1436483550;1436483589;45
{action=migrate(vm=vm#4, from=node#0, to=node#2, bw=500)};1436483550;1436483594;45
