ACTION;START;END;RUN
{action=migrate(vm=vm#8, from=node#2, to=node#3, bw=1000)};1436481468;1436481497;35
{action=migrate(vm=vm#4, from=node#0, to=node#1, bw=500)};1436481468;1436481510;35
{action=migrate(vm=vm#7, from=node#1, to=node#2, bw=500)};1436481468;1436481524;35
{action=migrate(vm=vm#6, from=node#3, to=node#0, bw=500)};1436481468;1436481526;35
{action=migrate(vm=vm#0, from=node#2, to=node#3, bw=1000)};1436481526;1436481546;35
{action=migrate(vm=vm#2, from=node#3, to=node#0, bw=500)};1436481526;1436481564;35
{action=migrate(vm=vm#3, from=node#1, to=node#2, bw=500)};1436481526;1436481564;35
{action=migrate(vm=vm#5, from=node#3, to=node#2, bw=1000)};1436481564;1436481593;35
{action=migrate(vm=vm#1, from=node#2, to=node#0, bw=500)};1436481564;1436481602;35
{action=migrate(vm=vm#9, from=node#1, to=node#3, bw=500)};1436481564;1436481620;35
