ACTION;START;END;RUN
{action=migrate(vm=vm#5, from=node#3, to=node#2, bw=1000)};1436481816;1436481851;37
{action=migrate(vm=vm#1, from=node#2, to=node#1, bw=500)};1436481816;1436481854;37
{action=migrate(vm=vm#8, from=node#2, to=node#0, bw=500)};1436481816;1436481878;37
{action=migrate(vm=vm#3, from=node#0, to=node#1, bw=500)};1436481855;1436481896;37
{action=migrate(vm=vm#2, from=node#2, to=node#3, bw=1000)};1436481878;1436481898;37
{action=migrate(vm=vm#6, from=node#1, to=node#2, bw=500)};1436481878;1436481934;37
{action=migrate(vm=vm#4, from=node#2, to=node#3, bw=1000)};1436481898;1436481918;37
{action=migrate(vm=vm#7, from=node#1, to=node#2, bw=500)};1436481934;1436481990;37
{action=migrate(vm=vm#9, from=node#0, to=node#1, bw=500)};1436481934;1436482001;37
{action=migrate(vm=vm#0, from=node#1, to=node#2, bw=500)};1436482002;1436482040;37
