ACTION;START;END;RUN
{action=migrate(vm=vm#0, from=node#0, to=node#2, bw=500)};1436480475;1436480514;31
{action=migrate(vm=vm#4, from=node#1, to=node#2, bw=500)};1436480475;1436480515;31
{action=migrate(vm=vm#8, from=node#3, to=node#1, bw=500)};1436480475;1436480536;31
{action=migrate(vm=vm#5, from=node#0, to=node#2, bw=500)};1436480515;1436480572;31
{action=migrate(vm=vm#9, from=node#3, to=node#0, bw=500)};1436480515;1436480575;31
{action=migrate(vm=vm#1, from=node#2, to=node#1, bw=500)};1436480536;1436480574;31
{action=migrate(vm=vm#2, from=node#3, to=node#0, bw=500)};1436480575;1436480616;31
{action=migrate(vm=vm#6, from=node#0, to=node#1, bw=500)};1436480575;1436480631;31
{action=migrate(vm=vm#3, from=node#1, to=node#0, bw=500)};1436480631;1436480670;31
{action=migrate(vm=vm#7, from=node#0, to=node#1, bw=500)};1436480670;1436480726;31
