ACTION;START;END;RUN
{action=migrate(vm=vm#8, from=node#1, to=node#2, bw=500)};1436914204;1436914261;21
{action=migrate(vm=vm#6, from=node#0, to=node#2, bw=500)};1436914204;1436914266;21
{action=migrate(vm=vm#5, from=node#2, to=node#0, bw=500)};1436914204;1436914271;21
{action=migrate(vm=vm#0, from=node#0, to=node#1, bw=500)};1436914272;1436914310;21
{action=migrate(vm=vm#1, from=node#2, to=node#0, bw=500)};1436914272;1436914317;21
{action=migrate(vm=vm#2, from=node#0, to=node#2, bw=500)};1436914318;1436914356;21
{action=migrate(vm=vm#7, from=node#1, to=node#0, bw=500)};1436914318;1436914388;21
{action=migrate(vm=vm#4, from=node#0, to=node#2, bw=500)};1436914356;1436914395;21
{action=migrate(vm=vm#3, from=node#1, to=node#0, bw=500)};1436914389;1436914427;21
{action=migrate(vm=vm#9, from=node#1, to=node#3, bw=500)};1436914427;1436914484;21
