ACTION;START;END;RUN
{action=migrate(vm=vm#1, from=node#1, to=node#2, bw=500)};1436915345;1436915383;26
{action=migrate(vm=vm#2, from=node#3, to=node#0, bw=500)};1436915345;1436915387;26
{action=migrate(vm=vm#9, from=node#0, to=node#3, bw=500)};1436915345;1436915401;26
{action=migrate(vm=vm#4, from=node#2, to=node#0, bw=500)};1436915387;1436915433;26
{action=migrate(vm=vm#8, from=node#3, to=node#1, bw=500)};1436915387;1436915447;26
{action=migrate(vm=vm#0, from=node#0, to=node#3, bw=500)};1436915401;1436915440;26
{action=migrate(vm=vm#6, from=node#1, to=node#0, bw=500)};1436915434;1436915491;26
{action=migrate(vm=vm#3, from=node#0, to=node#1, bw=500)};1436915492;1436915537;26
{action=migrate(vm=vm#5, from=node#1, to=node#3, bw=500)};1436915492;1436915548;26
{action=migrate(vm=vm#7, from=node#1, to=node#0, bw=500)};1436915549;1436915605;26
