ACTION;START;END;RUN
{action=migrate(vm=vm#2, from=node#2, to=node#3, bw=1000)};1436914484;1436914504;22
{action=migrate(vm=vm#3, from=node#0, to=node#1, bw=500)};1436914484;1436914522;22
{action=migrate(vm=vm#8, from=node#2, to=node#3, bw=1000)};1436914504;1436914537;22
{action=migrate(vm=vm#9, from=node#3, to=node#2, bw=1000)};1436914504;1436914536;22
{action=migrate(vm=vm#5, from=node#0, to=node#1, bw=500)};1436914522;1436914578;22
{action=migrate(vm=vm#6, from=node#2, to=node#0, bw=500)};1436914522;1436914593;22
{action=migrate(vm=vm#4, from=node#2, to=node#3, bw=1000)};1436914593;1436914612;22
{action=migrate(vm=vm#0, from=node#1, to=node#0, bw=500)};1436914593;1436914637;22
{action=migrate(vm=vm#7, from=node#0, to=node#3, bw=500)};1436914612;1436914668;22
{action=migrate(vm=vm#1, from=node#0, to=node#2, bw=500)};1436914668;1436914707;22
