ACTION;START;END;RUN
{action=migrate(vm=vm#4, from=node#2, to=node#3, bw=1000)};1436912929;1436912949;15
{action=migrate(vm=vm#0, from=node#1, to=node#0, bw=500)};1436912929;1436912975;15
{action=migrate(vm=vm#8, from=node#0, to=node#3, bw=500)};1436912949;1436913006;15
{action=migrate(vm=vm#6, from=node#2, to=node#1, bw=500)};1436912975;1436913039;15
{action=migrate(vm=vm#5, from=node#1, to=node#3, bw=500)};1436912975;1436913034;15
{action=migrate(vm=vm#9, from=node#2, to=node#0, bw=500)};1436912975;1436913044;15
{action=migrate(vm=vm#1, from=node#0, to=node#3, bw=500)};1436913006;1436913044;15
{action=migrate(vm=vm#3, from=node#2, to=node#0, bw=500)};1436913044;1436913083;15
{action=migrate(vm=vm#7, from=node#1, to=node#2, bw=500)};1436913044;1436913101;15
{action=migrate(vm=vm#2, from=node#1, to=node#0, bw=500)};1436913101;1436913139;15
