ACTION;START;END;RUN
{action=migrate(vm=vm#3, from=node#2, to=node#3, bw=1000)};1436913769;1436913790;19
{action=migrate(vm=vm#1, from=node#3, to=node#1, bw=500)};1436913769;1436913814;19
{action=migrate(vm=vm#5, from=node#3, to=node#0, bw=500)};1436913769;1436913825;19
{action=migrate(vm=vm#6, from=node#1, to=node#2, bw=500)};1436913769;1436913825;19
{action=migrate(vm=vm#4, from=node#3, to=node#1, bw=500)};1436913825;1436913873;19
{action=migrate(vm=vm#7, from=node#2, to=node#0, bw=500)};1436913825;1436913882;19
{action=migrate(vm=vm#8, from=node#1, to=node#3, bw=500)};1436913825;1436913882;19
{action=migrate(vm=vm#0, from=node#2, to=node#1, bw=500)};1436913873;1436913917;19
{action=migrate(vm=vm#9, from=node#1, to=node#2, bw=500)};1436913882;1436913938;19
{action=migrate(vm=vm#2, from=node#2, to=node#1, bw=500)};1436913917;1436913958;19
