ACTION;START;END;RUN
{action=migrate(vm=vm#1, from=node#1, to=node#2, bw=500)};1436916821;1436916859;32
{action=migrate(vm=vm#5, from=node#2, to=node#0, bw=500)};1436916821;1436916878;32
{action=migrate(vm=vm#4, from=node#2, to=node#1, bw=500)};1436916860;1436916906;32
{action=migrate(vm=vm#6, from=node#1, to=node#3, bw=500)};1436916860;1436916916;32
{action=migrate(vm=vm#0, from=node#2, to=node#0, bw=500)};1436916878;1436916916;32
{action=migrate(vm=vm#7, from=node#1, to=node#2, bw=500)};1436916916;1436916972;32
{action=migrate(vm=vm#9, from=node#0, to=node#1, bw=500)};1436916916;1436916983;32
{action=migrate(vm=vm#2, from=node#0, to=node#1, bw=500)};1436916983;1436917032;32
{action=migrate(vm=vm#8, from=node#1, to=node#2, bw=500)};1436916983;1436917039;32
{action=migrate(vm=vm#3, from=node#0, to=node#1, bw=500)};1436917032;1436917071;32
