ACTION;START;END;RUN
{action=migrate(vm=vm#5, from=node#3, to=node#2, bw=1000)};1436911677;1436911706;9
{action=migrate(vm=vm#3, from=node#1, to=node#3, bw=500)};1436911677;1436911718;9
{action=migrate(vm=vm#2, from=node#0, to=node#3, bw=500)};1436911677;1436911718;9
{action=migrate(vm=vm#8, from=node#2, to=node#1, bw=500)};1436911677;1436911739;9
{action=migrate(vm=vm#9, from=node#2, to=node#0, bw=500)};1436911677;1436911740;9
{action=migrate(vm=vm#1, from=node#2, to=node#3, bw=1000)};1436911740;1436911760;9
{action=migrate(vm=vm#6, from=node#1, to=node#2, bw=500)};1436911740;1436911797;9
{action=migrate(vm=vm#7, from=node#0, to=node#1, bw=500)};1436911740;1436911806;9
{action=migrate(vm=vm#0, from=node#0, to=node#2, bw=500)};1436911806;1436911845;9
{action=migrate(vm=vm#4, from=node#1, to=node#2, bw=500)};1436911806;1436911846;9
