ACTION;START;END;RUN
{action=migrate(vm=vm#1, from=node#1, to=node#2, bw=500)};1436913958;1436914000;20
{action=migrate(vm=vm#5, from=node#0, to=node#2, bw=500)};1436913958;1436914016;20
{action=migrate(vm=vm#6, from=node#2, to=node#0, bw=500)};1436913958;1436914021;20
{action=migrate(vm=vm#8, from=node#3, to=node#1, bw=500)};1436913958;1436914021;20
{action=migrate(vm=vm#0, from=node#1, to=node#0, bw=500)};1436914021;1436914059;20
{action=migrate(vm=vm#3, from=node#3, to=node#1, bw=500)};1436914021;1436914069;20
{action=migrate(vm=vm#2, from=node#1, to=node#0, bw=500)};1436914069;1436914107;20
{action=migrate(vm=vm#9, from=node#2, to=node#1, bw=500)};1436914069;1436914144;20
{action=migrate(vm=vm#4, from=node#1, to=node#0, bw=500)};1436914108;1436914146;20
{action=migrate(vm=vm#7, from=node#0, to=node#1, bw=500)};1436914147;1436914203;20
