ACTION;START;END;RUN
{action=migrate(vm=vm#2, from=node#3, to=node#0, bw=500)};1436919207;1436919248;43
{action=migrate(vm=vm#6, from=node#1, to=node#2, bw=500)};1436919207;1436919263;43
{action=migrate(vm=vm#7, from=node#0, to=node#3, bw=500)};1436919207;1436919263;43
{action=migrate(vm=vm#8, from=node#3, to=node#1, bw=500)};1436919207;1436919273;43
{action=migrate(vm=vm#5, from=node#2, to=node#0, bw=500)};1436919249;1436919314;43
{action=migrate(vm=vm#3, from=node#0, to=node#1, bw=500)};1436919273;1436919314;43
{action=migrate(vm=vm#4, from=node#3, to=node#2, bw=1000)};1436919273;1436919292;43
{action=migrate(vm=vm#9, from=node#1, to=node#3, bw=500)};1436919273;1436919329;43
{action=migrate(vm=vm#0, from=node#0, to=node#2, bw=500)};1436919314;1436919353;43
{action=migrate(vm=vm#1, from=node#2, to=node#0, bw=500)};1436919314;1436919358;43
